@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
282880,253,1805,189.173.107,65797,1855970,7493671,12358091,16119800,152658,16170,346,0,0,0,5711,Homer
187859,241,1819,0.156.222,65794,1197310,3004079,15462636,16673064,97977,5444,0,0,135,17403,0,Homer
183456,242,21144,0.107.173,65796,1197568,5661335,15988218,16684373,124526,9610,130,0,48,0,3056,Homer
113344,243,1373,189.173.107,65794,1131520,1179648,6714538,15856891,61177,5053,523,0,0,0,1388,Homer
107226,255,1761,0.107.173,65794,1263616,5139086,15265519,16750165,63583,4497,57,0,228,0,0,Homer
146730,251,2146,189.173.107,65794,1131776,4609425,11057878,16514302,86065,6194,0,0,0,0,11251,Homer
132016,251,1825,255.0.0,197380,1001463,12032337,12436690,15921391,86475,2444,83,0,0,0,836,Homer
60138,253,4019,0.189.0,262917,1000191,4544076,12497535,16185313,21727,5921,0,0,0,0,0,Homer
92750,239,1685,0.189.0,131587,877558,7566453,13555942,16085576,62368,480,3700,0,0,0,0,Homer
44312,241,733,0.189.0,65794,1067776,5201271,12426834,15198446,28959,1860,0,0,0,0,333,Homer
78070,253,1185,0.189.0,131586,1593071,10991563,11635542,15791345,52267,2238,0,0,0,0,17,Homer
61000,253,2419,0.189.0,131330,738560,4606112,8568184,12899547,30921,132,0,0,0,0,0,Homer
86328,255,1546,0.189.0,65794,870143,3103070,10267538,15900667,49236,595,0,0,0,0,1442,Homer
37467,251,455,0.189.0,65794,209656,7171701,7650795,11324402,20145,23,0,0,0,0,0,Homer
76342,249,1330,0.189.0,65794,1459442,7113181,9403486,13685974,54405,282,0,0,0,0,572,Homer
78952,250,1284,255.0.0,66051,1527026,6355111,11176799,14477031,52159,1783,905,415,0,0,747,Homer
79328,251,1181,0.189.0,131587,1333222,11706763,12639466,16054265,33216,3564,0,0,0,0,473,Homer
60993,248,1249,0.189.0,65794,1525490,9937585,11438422,15265265,42267,1773,0,0,0,0,615,Homer
92916,241,2066,0.189.0,65794,1394687,4717823,5003108,14937583,69494,2883,0,0,0,0,933,Homer
65762,250,973,0.189.0,65794,1131264,5131085,5271993,11845341,31122,48,0,0,0,0,3621,Homer
73688,254,1339,0.189.0,65794,1197056,3822725,8949950,12895956,43378,39,0,0,0,0,3395,Homer
49878,254,784,0.189.0,65794,212963,5466775,14735843,16760918,28189,937,0,0,327,0,643,Homer
42075,256,1020,0.189.0,132355,1197038,2620820,11899854,14671340,26335,315,0,0,0,0,1051,Homer
58725,254,979,0.189.0,65794,1197056,3692425,9022933,13888501,34773,437,0,0,0,0,2793,Homer
