@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
85250,243,1471,0.107.173,16749908,146176,13160156,5663386,65794,Homer
141400,246,1734,0.107.173,16749909,5004672,14408416,65794,1263104,Homer
137634,246,1774,255.0.0,3954055,8564696,65794,1197056,14738414,Homer
49344,248,912,255.0.0,65794,14410224,7834042,196352,146176,Lisa
19000,253,520,255.0.0,11058395,7038611,131587,523515,212223,Lisa
38976,254,2719,255.0.0,1002485,392701,13093336,197379,4745851,Lisa
56994,250,2805,255.0.0,131587,343550,16207608,3602084,11245456,Lisa
31030,253,716,255.0.0,343294,13554399,131587,327422,5995618,Lisa
32725,246,597,255.0.0,65794,12635612,229375,5723226,8364753,Lisa
39856,247,908,255.0.0,476667,327423,7835066,131587,13555166,Lisa
218784,241,2810,255.0.0,13983801,1076479,15791612,16248197,131331,Lisa
30400,250,954,255.0.0,805627,8278600,392702,12174808,66051,Lisa
51975,253,1211,255.0.0,557817,14014417,65794,9348053,8015172,Lisa
38804,255,817,255.0.0,131588,411388,7439789,589310,13544420,Lisa
51548,253,662,255.0.0,738532,199176,12570073,11297902,589310,Lisa
55332,254,1339,255.0.0,6599858,277503,15856373,6115137,65795,Lisa
46460,253,1835,255.0.0,645368,8886447,14476631,935635,131587,Lisa
23302,249,601,255.0.0,540672,458752,12177643,7827049,131587,Lisa
35948,251,1004,255.0.0,211967,7111084,12240594,785146,131587,Lisa
37556,250,844,255.0.0,7505068,131587,211967,12637665,392959,Lisa
66960,249,1181,255.0.0,5660027,15885357,65794,161789,9741231,Lisa
58077,250,1607,255.0.0,459526,10266549,2446712,289276,13684303,Lisa
19305,251,565,255.0.0,131587,523260,6254996,13160668,146174,Lisa
41184,250,768,255.0.0,12238281,161535,5133960,65794,7643824,Lisa
31820,236,748,255.0.0,80639,65794,196350,12501450,5664411,Lisa
33674,252,995,255.0.0,5530250,9610932,13553623,229886,65795,Lisa
16284,246,476,255.0.0,6913184,131587,457982,277758,12437200,Lisa
29887,248,583,0.8.132,66051,737279,4969716,5727847,14476786,Lisa
26019,240,511,255.0.0,65795,7172476,13423854,671487,5351162,Lisa
44247,254,822,255.0.0,65794,8895211,5792619,884736,14805751,Lisa
77671,252,1770,0.8.132,11123632,65794,6575425,14673643,1792994,Lisa
62192,238,772,0.8.132,365397,66307,15922683,8889028,1131520,Lisa
47736,252,1110,255.0.0,1262846,5148831,65794,258032,14015972,Lisa
64064,252,1539,255.0.0,6065043,14410728,131587,261887,1067769,Lisa
65199,248,665,255.0.0,8819915,15068923,262144,65794,1196800,Lisa
34935,247,652,255.0.0,65795,1196800,12704754,7110588,262144,Lisa
40890,243,638,255.0.0,9739689,16342787,131587,15791092,215267,Maggie
60939,247,747,0.156.222,16737316,65794,16053495,1200128,10791354,Maggie
40092,250,830,0.156.222,2122461,16540451,11582157,65794,7958642,Maggie
41040,252,1332,0.156.222,12764101,263173,7828089,16671523,354797,Maggie
26400,251,556,0.156.222,7711433,1132983,16278309,131587,14788068,Maggie
13482,252,478,0.156.222,328965,11447735,980981,868601,16344104,Maggie
15189,253,791,255.0.0,246783,6512245,131330,11252936,16605988,Maggie
25650,254,1140,0.156.222,416217,131330,934256,12896461,9797245,Maggie
38976,253,699,0.156.222,12113375,131588,16605989,409086,16606973,Maggie
47637,251,647,255.0.0,10642487,15112319,65794,500990,13098208,Maggie
92988,252,999,247.99.16,827887,15527921,65794,10851476,1722582,Maggie
46750,251,1114,0.156.222,65794,11186625,8480357,16605987,543473,Maggie
50652,255,1210,247.99.16,15634993,131587,11385280,7039862,417018,Maggie
32512,254,747,0.156.222,608715,1616285,132870,7300226,16343588,Maggie
41405,254,1029,0.156.222,358143,65794,3574405,16540452,10404046,Maggie
35964,255,584,0.156.222,16467196,546807,16343846,12897493,131587,Maggie
12319,254,383,0.156.222,131588,345337,7303813,11384254,16605987,Maggie
9625,251,313,0.156.222,542456,12633548,16605987,8225169,197380,Maggie
13559,252,370,0.156.222,16540452,7049887,14343395,343034,197381,Maggie
24960,253,486,0.156.222,8552336,13028817,131587,16671523,477179,Maggie
45980,251,672,0.8.132,131587,4172248,737278,13202740,12960966,Maggie
17161,252,529,0.8.132,8613219,10410225,14343659,1264889,197123,Maggie
58447,253,823,0.8.132,65795,13464878,16052980,738560,9156582,Maggie
53531,254,1310,255.0.0,8226467,14149877,12677689,131589,808703,Maggie
42558,248,974,0.8.132,9604233,2921451,15330800,131587,13924145,Maggie
9440,243,294,0.8.132,8474632,65794,10852746,340992,7383282,Maggie
125460,252,1202,0.156.222,4236762,1197312,13619156,65794,16671010,Maggie
55120,253,664,0.156.222,65794,4307670,14077138,1196799,16737572,Maggie
42804,243,666,0.156.222,7438006,1197056,65794,16737316,14143958,Maggie
99050,250,909,0.156.222,16737316,7432557,1197056,65794,10205621,Maggie
29555,251,595,255.0.0,65794,2179833,12831945,12894260,1728825,Marge
24768,247,1960,0.66.132,16760446,2271522,11455187,197123,4145390,Marge
35154,247,671,0.66.132,4872383,16694653,11977421,361214,131587,Marge
38293,247,712,0.66.132,16629118,8229522,349694,1274178,65794,Marge
30400,251,606,255.0.0,13724487,7568045,461584,2523633,16204534,Marge
48285,251,824,0.66.132,16296059,14146793,4623066,65794,1915895,Marge
68670,253,1597,255.0.0,66307,3095796,457468,16302734,8623272,Marge
60420,255,1349,0.66.132,16627836,13029079,66051,6584727,1590773,Marge
35960,252,683,0.66.132,1721081,16694654,65794,11456996,2640762,Marge
16470,253,458,0.66.132,408829,9011610,131590,16499598,3204842,Marge
30305,250,573,0.66.132,16628606,6273742,15197680,4209902,131587,Marge
35750,249,1015,0.66.132,65794,10140371,16695168,3948531,5527394,Marge
45240,247,799,0.66.132,6568934,146431,16173218,5749962,65794,Marge
22776,251,2623,0.66.132,16760446,131589,10466774,5345453,4668399,Marge
48600,254,794,0.66.132,400660,1372405,16042918,2572022,7047562,Marge
27136,245,619,0.66.132,11448765,277503,1219308,16434293,131587,Marge
31360,252,589,0.66.132,4341491,16564354,131587,3336440,6846906,Marge
62624,251,770,0.66.132,5998690,65794,16629118,540926,12634065,Marge
67032,248,968,0.8.132,65795,671488,13490162,16773521,6314457,Marge
50048,250,530,0.8.132,868350,7567786,16773017,65794,13558515,Marge
63434,248,770,0.8.132,11124945,14936808,8363128,65794,4624599,Marge
147700,250,1681,255.0.0,65794,2574149,4868084,5926535,14209970,Marge
115248,251,1302,255.0.0,3049774,16642208,1197056,9612989,65794,Marge
87248,253,730,255.0.0,1197056,131587,16641959,785920,13733792,Marge
